542,914
828,965
436,549
18,350
720,59
676,867
461,733
675,922
105,743
758,752
835,814
457,202
860,625
317,223
45,975
503,782
76,688
958,654
304,300
703,651
993,359
108,425
774,373
861,63
835,916
21,159
728,857
938,559
310,181
691,645
626,43
587,12
310,210
173,182
688,860
555,31
778,268
890,976
246,78
973,127
388,81
304,284
330,986
679,238
115,713
543,451
438,936
108,218
491,943
64,481
836,142
786,509
844,535
351,530
384,594
434,807
215,263
803,406
263,605
569,195
977,153
953,281
335,793
291,297
349,550
546,453
197,886
92,473
12,671
128,646
444,246
157,671
353,848
583,922
111,121
950,666
7,754
796,615
162,612
517,321
213,7
671,914
917,731
16,382
723,196
340,23
890,777
399,604
350,782
553,39
593,464
766,378
402,653
359,654
610,142
811,876
995,451
480,415
878,110
195,983
241,475
33,584
955,423
967,500
518,556
848,235
354,755
356,944
120,394
258,956
510,248
359,284
142,501
577,89
709,209
802,611
177,417
477,810
513,95
760,951
506,739
944,637
571,69
968,378
662,27
167,606
509,791
315,582
503,968
780,622
382,619
150,814
113,874
895,820
866,516
530,914
167,752
36,881
495,856
229,95
879,735
125,425
200,297
476,142
16,148
633,339
860,185
858,421
481,917
412,997
380,79
596,929
887,706
50,179
447,149
763,303
980,681
681,993
31,118
87,604
565,391
189,814
921,22
194,411
708,962
708,543
791,473
58,5
759,206
505,432
602,585
324,1
871,242
282,317
372,500
522,144
995,1000
542,32
408,355
543,494
245,841
312,491
775,197
363,303
677,854
531,263
966,681
547,548
420,176
231,647
172,851
367,737
924,742
974,218
476,673
495,206
127,511
935,880
473,57
548,10
347,474
109,999
577,781
921,902
525,822
811,692
110,956
627,930
660,259
528,758
894,185
608,666
651,316
448,161
506,463
800,983
616,319
414,372
871,591
149,846
738,552
705,965
215,293
668,79
758,182
21,631
106,701
336,292
861,612
687,859
135,924
919,581
218,425
855,666
882,29
433,117
240,221
907,535
397,733
37,584
526,759
494,641
919,21
866,205
444,576
472,323
424,274
107,927
874,973
139,523
264,193
184,228
521,76
612,618
992,139
385,160
253,533
814,678
144,274
619,80
59,437
841,810
111,531
983,892
544,236
766,552
991,328
609,583
587,463
679,475
966,907
93,286
337,552
561,206
950,172
570,1
557,324
892,904
483,916
637,171
865,688
582,262
877,107
368,867
57,943
600,264
399,411
116,651
595,83
718,92
54,256
146,629
724,240
390,949
886,754
376,299
892,710
103,214
325,954
983,230
833,508
486,571
927,743
782,896
691,662
663,15
72,398
384,36
297,162
719,743
726,964
459,446
930,103
614,249
393,328
375,718
270,203
460,774
